Date,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1990-01-31,8.29,N/A,8,8.13,8.08,8.28,8.36,8.35,8.39,8.43,8.69,8.46
1990-02-28,8.34,N/A,8.04,8.14,8.12,8.43,8.45,8.44,8.54,8.51,8.77,8.54
1990-03-31,8.37,N/A,8.07,8.24,8.35,8.64,8.69,8.65,8.7,8.65,8.86,8.63
1990-04-30,8.37,N/A,8.07,8.44,8.58,8.96,9.05,9.04,9.06,9.04,9.24,9
1990-05-31,8.3,N/A,8.01,8.12,8.22,8.5,8.53,8.56,8.64,8.6,8.81,8.58
1990-06-30,8.29,N/A,8,8.02,8.05,8.24,8.32,8.35,8.46,8.43,8.64,8.41
1990-07-31,8.02,N/A,7.74,7.72,7.72,7.91,8.04,8.13,8.28,8.36,8.65,8.42
1990-08-31,7.91,N/A,7.63,7.74,7.76,8.07,8.26,8.5,8.77,8.86,9.23,8.99
1990-09-30,7.64,N/A,7.37,7.54,7.69,8.02,8.19,8.47,8.73,8.82,9.2,8.96
1990-10-31,7.61,N/A,7.34,7.46,7.43,7.77,7.97,8.24,8.5,8.65,9.02,8.78
1990-11-30,7.51,N/A,7.24,7.36,7.31,7.53,7.67,7.91,8.18,8.26,8.63,8.4
1990-12-31,6.87,N/A,6.63,6.73,6.82,7.15,7.4,7.68,8,8.08,8.48,8.26
1991-01-31,6.6,N/A,6.37,6.49,6.51,7.05,7.3,7.62,7.89,8.03,8.43,8.21
1991-02-28,6.45,N/A,6.22,6.32,6.41,7.04,7.26,7.66,7.89,8.02,8.41,8.19
1991-03-31,6.14,N/A,5.92,6.05,6.28,7.02,7.3,7.73,7.96,8.05,8.46,8.24
1991-04-30,5.89,N/A,5.68,5.83,6.06,6.8,7.15,7.63,7.88,8.02,8.42,8.2
1991-05-31,5.92,N/A,5.71,5.94,6.16,6.68,7.1,7.69,7.92,8.06,8.48,8.26
1991-06-30,5.92,N/A,5.71,5.95,6.32,6.9,7.33,7.9,8.14,8.24,8.65,8.42
1991-07-31,5.91,N/A,5.7,5.93,6.19,6.81,7.21,7.77,8.03,8.2,8.58,8.36
1991-08-31,5.69,N/A,5.49,5.6,5.72,6.36,6.68,7.34,7.67,7.82,8.28,8.06
1991-09-30,5.45,N/A,5.26,5.34,5.42,5.99,6.28,6.92,7.29,7.47,8.03,7.82
1991-10-31,5.14,N/A,4.96,5.03,5.1,5.7,6.06,6.74,7.15,7.47,8.12,7.91
1991-11-30,4.63,N/A,4.47,4.57,4.69,5.38,5.76,6.48,6.99,7.38,8.15,7.94
1991-12-31,4.11,N/A,3.96,4,4.12,4.77,5.11,5.93,6.38,6.71,7.61,7.41
1992-01-31,4.08,N/A,3.94,4.07,4.23,5.11,5.65,6.44,6.92,7.31,7.98,7.77
1992-02-29,4.18,N/A,4.03,4.14,4.35,5.27,5.75,6.58,6.95,7.27,8.01,7.8
1992-03-31,4.3,N/A,4.15,4.32,4.54,5.6,6.17,6.94,7.25,7.54,8.17,7.96
1992-04-30,3.93,N/A,3.79,3.97,4.4,5.46,6.05,6.91,7.26,7.61,8.28,8.06
1992-05-31,3.93,N/A,3.79,3.96,4.24,5.19,5.75,6.61,7,7.33,8.05,7.84
1992-06-30,3.78,N/A,3.65,3.77,4.05,4.83,5.39,6.29,6.76,7.14,8,7.79
1992-07-31,3.37,N/A,3.25,3.38,3.62,4.42,4.97,5.84,6.27,6.72,7.66,7.46
1992-08-31,3.35,N/A,3.23,3.35,3.47,4.15,4.69,5.6,6.17,6.62,7.62,7.42
1992-09-30,2.85,N/A,2.75,2.92,3.06,3.8,4.34,5.33,5.94,6.37,7.58,7.38
1992-10-31,3.14,N/A,3.03,3.29,3.54,4.4,4.98,5.9,6.36,6.8,7.83,7.63
1992-11-30,3.5,N/A,3.38,3.58,3.83,4.79,5.36,6.23,6.61,6.95,7.79,7.59
1992-12-31,3.27,N/A,3.15,3.38,3.61,4.56,5.12,6.04,6.43,6.7,7.6,7.4
1993-01-31,3.07,N/A,2.96,3.16,3.39,4.2,4.72,5.57,6,6.39,7.4,7.21
1993-02-28,3.12,N/A,3.01,3.14,3.32,3.92,4.37,5.21,5.67,6.03,7.09,6.9
1993-03-31,3.06,N/A,2.95,3.09,3.32,3.96,4.42,5.24,5.72,6.03,7.12,6.93
1993-04-30,3.08,N/A,2.97,3.07,3.26,3.83,4.3,5.14,5.63,6.05,7.14,6.95
1993-05-31,3.24,N/A,3.13,3.32,3.62,4.24,4.63,5.37,5.8,6.16,7.17,6.98
1993-06-30,3.21,N/A,3.1,3.22,3.45,4.03,4.39,5.05,5.46,5.8,6.86,6.68
1993-07-31,3.21,N/A,3.1,3.28,3.53,4.13,4.5,5.16,5.5,5.83,6.75,6.57
1993-08-31,3.19,N/A,3.08,3.21,3.38,3.88,4.2,4.8,5.11,5.45,6.25,6.09
1993-09-30,3.09,N/A,2.98,3.13,3.39,3.89,4.24,4.79,5.11,5.4,6.2,6.04
1993-10-31,3.21,N/A,3.1,3.28,3.47,3.99,4.3,4.83,5.19,5.43,6.12,5.96
1993-11-30,3.33,N/A,3.21,3.4,3.65,4.22,4.55,5.15,5.53,5.83,6.46,6.29
1993-12-31,3.18,N/A,3.07,3.3,3.63,4.25,4.58,5.21,5.53,5.83,6.48,6.35
1994-01-31,3.16,N/A,3.05,3.25,3.53,4.12,4.44,5.02,5.34,5.7,6.29,6.23
1994-02-28,3.6,N/A,3.47,3.72,4.03,4.67,5.04,5.6,5.94,6.15,6.75,6.67
1994-03-31,3.69,N/A,3.56,3.92,4.5,5.21,5.66,6.23,6.59,6.77,7.23,7.11
1994-04-30,4.12,N/A,3.97,4.45,5.07,5.73,6.16,6.64,6.88,7.06,7.44,7.31
1994-05-31,4.47,N/A,4.31,4.87,5.38,6.01,6.36,6.77,6.99,7.17,7.58,7.44
1994-06-30,4.42,N/A,4.26,4.83,5.51,6.19,6.52,6.97,7.18,7.34,7.75,7.63
1994-07-31,4.55,N/A,4.39,4.87,5.37,5.99,6.33,6.73,6.92,7.12,7.46,7.39
1994-08-31,4.85,N/A,4.68,5.03,5.56,6.17,6.44,6.81,7,7.19,7.6,7.46
1994-09-30,4.98,N/A,4.8,5.43,5.96,6.62,6.92,7.28,7.46,7.62,7.98,7.82
1994-10-31,5.39,N/A,5.2,5.72,6.18,6.84,7.1,7.48,7.65,7.81,8.09,7.97
1994-11-30,5.93,N/A,5.72,6.22,6.91,7.4,7.62,7.79,7.84,7.91,8.1,7.99
1994-12-31,5.89,N/A,5.68,6.51,7.2,7.69,7.8,7.83,7.84,7.84,8.02,7.89
1995-01-31,6.22,N/A,6,6.4,6.84,7.26,7.39,7.54,7.58,7.6,7.81,7.71
1995-02-28,6.16,N/A,5.94,6.19,6.44,6.79,6.9,7.06,7.15,7.22,7.58,7.46
1995-03-31,6.1,N/A,5.88,6.13,6.49,6.8,6.92,7.08,7.17,7.2,7.54,7.44
1995-04-30,6.09,N/A,5.87,6.08,6.32,6.6,6.72,6.88,6.95,7.07,7.42,7.34
1995-05-31,6.02,N/A,5.81,5.83,5.8,5.89,5.95,6.08,6.18,6.3,6.72,6.67
1995-06-30,5.81,N/A,5.6,5.59,5.65,5.79,5.88,5.98,6.12,6.21,6.64,6.63
